rank,id,name,number,dna_value,rarity_score,status
1,277950309d9120caed705724f0fae776ece50c91118af0e5ea0d8149528c48cdi0,DIAMONDHANDED JEETER,,1/1,3799.153760951189,mythic
2,c449a5af0227c469c81f09a1b2da3280f163be3cfc22e4bda082981a70734652i0,ORDIMUTANT #4303,4303.0,1/1,3427.8824554702264,mythic
3,0374c85314ff724b7fd0ef984fa59cdf7d193de2754fdf046634b3bff06e6d08i0,ORDIMUTANT #4301,4301.0,1/1,2994.5902476780184,mythic
4,1aae3a956b1cf45c62d961057d982d37778c8ba57c5c70fca5e7116afc68fe70i2,OrdiMutants #277,277.0,1/1,2121.053884041655,mythic
5,8f1e96d43f72025c668c1ee962316a8b466ac42969baa2c574f3d057cf282979i0,ORDIMUTANT #4308,4308.0,1/1,1719.2243065768662,mythic
6,bca534041410d8ca6f3c14399656fa463ef49f825f0c3375e469e40dac4e6523i3,OrdiMutants #197,197.0,1/1,1712.9538840416549,mythic
7,e529c5863940e59590d3ca56d693995e64a647e7f8faa11e4383fcaaeb2810b0i0,ORDIMUTANT #4315,4315.0,1/1,1379.0538840416548,mythic
8,f926209aa58f4f03b01d9691e6c29d05f77b6b87132f74cd6c2d2182f9726e4di0,ORDIMU[TV]NT,,1/1,1379.0538840416548,mythic
9,f638438339bf4fd86398d28ea0b1cf828e5a629bc000441169c51c709b7fbd1fi0,ORDIMUTANT #4314,4314.0,1/1,1218.6902476780183,mythic
10,cc39a67b7562893ece4b9eeb02f033a02e6d2bf03c661e67ea2d90beb04f6d5ci0,ORDIMUTANT #4309,4309.0,1/1,1202.752231149093,mythic
11,205ecd600875b98946d7bef0fd80bf5db3077bb9f492773a2acb52abe20f6e7ei0,ORDIMUTANT #4313,4313.0,1/1,1200.3404694075086,mythic
12,544d8f4abd4d1bf8b2138238a0bc9f81e1194e06503da9b69475b69008601c09i0,ORDIMUTANT #4310,4310.0,1/1,1176.6902476780183,mythic
13,ab349d93d792190e10440f189b518f44535914029af71f368bba4d3dd3e1ff5ci0,ORDIMUTANT #4305,4305.0,1/1,1176.6902476780183,mythic
14,361e55d6e0301c8875eff98434c9dd9f49b374a02d9ae038130d07f5dc87cd94i0,ORDIMUTANT #4312,4312.0,1/1,991.1902476780184,mythic
15,5486a073b784627454f948606ad4913888c84c40b06787d4fe72afd5c38749d3i0,ORDIMUTANT #4299,4299.0,1/1,970.9538840416548,mythic
16,9a5fcb35c8cef2a43bb170bc0b6bf7e37ebab515c1cef63dafee3c1cff9e9ed6i0,ORDIMUTANT #4307,4307.0,1/1,954.0902476780186,mythic
17,c5d3acdb5f927c53f2b732c0d119585a0494d8e5146bf411be5b17d10c0b5b09i0,ORDIMUTANT #4304,4304.0,1/1,954.0902476780186,mythic
18,4b3c610bf6a0ceb9e91e62cbe9ee9e6d5c0105bf4bb2a84c6486f3337a175e4di0,ORDIMUTANT #4302,4302.0,1/1,777.7885947854566,mythic
19,02cface97ad91409e3dddc05d23b8beda71ba46225163c291a0699465e361cc5i0,ORDIMUTANT #4306,4306.0,1/1,695.3743243243243,mythic
20,4ac323c17e6a7c56cb8ab5f228ee690537745e1807b1b215702f50c9093ae2f8i0,ORDIMUTANT BLK#888888,888888.0,1/1,680.8696892777419,mythic
21,eb490fc4e9171b7ce3bc54720b2911d25083b4819cf0c5330143e3c04ce9c42ei0,ORDIMUTANT #4297,4297.0,1/1,671.9706326267967,mythic
22,1aae3a956b1cf45c62d961057d982d37778c8ba57c5c70fca5e7116afc68fe70i3,OrdiMutants #31,31.0,1/1,639.6476634597611,mythic
23,8e1a919924c3573f58010facb12d89599cc3c23c97acaeac3a71233ca3261db8i0,ORDIMUTANT #4300,4300.0,1/1,632.3570719602977,mythic
24,1aae3a956b1cf45c62d961057d982d37778c8ba57c5c70fca5e7116afc68fe70i1,OrdiMutants #72,72.0,1/1,554.6192853225409,mythic
25,87a98232f5d5f2dfd736f575ca1b0148f028cb57086794c5ce3288cbc5b47f8ci3,OrdiMutants #242,242.0,Gen 1,2581.873895996066,legendary
26,3ded152e5bbe88e79ad1c962170ebd7ec413bbff36e1bd2dc1f557829480c3a0i0,ORDIMUTANT OG#6,6.0,OG,1420.3315247453045,legendary
27,68d6def075df9e86fa47460253a8722d44b558954dfd3da4d8d186e746711a1bi2,OrdiMutants #459,459.0,Gen 1,1255.0602014007573,legendary
28,78629b8bd834aa8f60ee54a9110f3c4622584a277871615a004a33cb9ddcaaa8i4,OrdiMutants #576,576.0,Gen 1,1228.7753630115344,legendary
29,7fa38ad19cfba7ae76d7675b600cd8fdee75c34f83f157faced2be99612d5189i0,ORDIMUTANT OG#3,3.0,OG,1185.0652696747966,legendary
30,377f5c709c1fc3b25514790222c1d57dfaa5496b0372eeab0fdb5ee2d4f6d53di0,ORDIMUTANT OG#21,21.0,OG,1003.198582513516,legendary
31,532c4579d96fc29d88e384983a52ec3a1feab4d7466bca3e7f441c450b600499i0,ORDIMUTANT OG#17,17.0,OG,979.2932381213794,legendary
32,d834eca16d3eb2846e64b3f958170730d06c7f9b63c7f07f06db3637c3c65887i0,ORDIMUTANT OG#51,51.0,OG,969.3092662168684,legendary
33,87a98232f5d5f2dfd736f575ca1b0148f028cb57086794c5ce3288cbc5b47f8ci7,OrdiMutants #395,395.0,Gen 1,896.9163042646867,legendary
34,87a98232f5d5f2dfd736f575ca1b0148f028cb57086794c5ce3288cbc5b47f8ci5,OrdiMutants #434,434.0,Gen 1,892.9819369340659,legendary
35,d46b5ba887c39de83b9f7c9fe17e27ba7aa911b4e1d00c1c3117534679a7dab3i1,OrdiMutants #506,506.0,Gen 1,882.0606020967736,legendary
36,68d6def075df9e86fa47460253a8722d44b558954dfd3da4d8d186e746711a1bi6,OrdiMutants #637,637.0,Gen 1,807.8490443804583,legendary
37,e46eb0cc64431dd7ca5d1d9fb87e527b213c7ccda50b6ccd03073e16eac6ba27i5,OrdiMutants #667,667.0,Gen 1,791.064271503654,legendary
38,d46b5ba887c39de83b9f7c9fe17e27ba7aa911b4e1d00c1c3117534679a7dab3i7,OrdiMutants #184,184.0,Gen 1,768.3555673583936,legendary
39,68d6def075df9e86fa47460253a8722d44b558954dfd3da4d8d186e746711a1bi4,OrdiMutants #641,641.0,Gen 1,739.2861753831048,legendary
40,da6a7aac5bf088746dc9b3c80cb7e34c427e40b0eafa3599b4664027ec501087i1,OrdiMutants #185,185.0,Gen 1,678.6158969088033,legendary
41,da8e456aa9e821b1d98cf164ad4ed2f8ab474088ad3c273108d4f48efd7d6a8di1,OrdiMutants #468,468.0,Gen 1,596.3775272282431,legendary
42,da8e456aa9e821b1d98cf164ad4ed2f8ab474088ad3c273108d4f48efd7d6a8di4,OrdiMutants #229,229.0,Gen 1,529.0268347539467,legendary
43,da6a7aac5bf088746dc9b3c80cb7e34c427e40b0eafa3599b4664027ec501087i4,OrdiMutants #482,482.0,Gen 1,529.0041118629656,legendary
44,a1152b1386c93ffdf78e4e442a0ae7a7236860f81d0de7f27ea10bbf2d200c60i0,ORDIMUTANT OG#49,49.0,OG,515.8577982480393,legendary
45,da6a7aac5bf088746dc9b3c80cb7e34c427e40b0eafa3599b4664027ec501087i2,OrdiMutants #223,223.0,Gen 1,507.7246883121999,legendary
46,da6a7aac5bf088746dc9b3c80cb7e34c427e40b0eafa3599b4664027ec501087i6,OrdiMutants #653,653.0,Gen 1,507.2616841604796,legendary
47,da6a7aac5bf088746dc9b3c80cb7e34c427e40b0eafa3599b4664027ec501087i5,OrdiMutants #262,262.0,Gen 1,494.7562675233871,legendary
48,f2d8bc4173e5133790dc052360d5dd8f97bdebb69f8e4da70ae9c29fcc0f3535i0,ORDIMUTANT OG#145,145.0,OG,494.3265132059094,legendary
49,57658aeb474cc747f1203ed45bedc2ab9f75b75825367f0b94e44e11f731b71ei0,ORDIMUTANT OG#136,136.0,OG,492.75666311575407,legendary
50,da6a7aac5bf088746dc9b3c80cb7e34c427e40b0eafa3599b4664027ec501087i3,OrdiMutants #650,650.0,Gen 1,492.3634351469453,legendary
51,87a98232f5d5f2dfd736f575ca1b0148f028cb57086794c5ce3288cbc5b47f8ci6,OrdiMutants #216,216.0,Gen 1,492.0852906055345,legendary
52,e46eb0cc64431dd7ca5d1d9fb87e527b213c7ccda50b6ccd03073e16eac6ba27i4,OrdiMutants #88,88.0,Gen 1,489.2725479561428,legendary
53,da8e456aa9e821b1d98cf164ad4ed2f8ab474088ad3c273108d4f48efd7d6a8di2,OrdiMutants #544,544.0,Gen 1,488.1437255211039,legendary
54,d46b5ba887c39de83b9f7c9fe17e27ba7aa911b4e1d00c1c3117534679a7dab3i6,OrdiMutants #264,264.0,Gen 1,485.2818545085245,legendary
55,d46b5ba887c39de83b9f7c9fe17e27ba7aa911b4e1d00c1c3117534679a7dab3i4,OrdiMutants #314,314.0,Gen 1,484.3043990010888,legendary
56,dda462dcf1a9dce7256c40c5aa1a06c9cf43a023cb8cc32fcfa3c5f50c41b923i2,OrdiMutants #18,18.0,Gen 1,480.87348183313486,legendary
57,b20098657b627994a51250eb6c77a6f24bb4cd2607954cc5ad32366237770881i0,ORDIMUTANT OG#23,23.0,OG,474.8589844081209,legendary
58,e1ce1bad8fd884f419b51279031a2c1e430fd2f452cd2039e89d4c8955a867a4i0,ORDIMUTANT OG#22,22.0,OG,463.7389486242306,legendary
59,da8e456aa9e821b1d98cf164ad4ed2f8ab474088ad3c273108d4f48efd7d6a8di6,OrdiMutants #487,487.0,Gen 1,453.23429198448616,legendary
60,cda7ff63b4fac468a8f3a9aad0d5dc38d4f547141b3cafb64761fac9bd051755i2,OrdiMutants #842,842.0,Gen 1,451.62271570460047,legendary
